,textID,selected_text
0,f87dea47db,last session of the day
1,96d74cb729,good
2,eee518ae67,recession
3,01082688c6,happy bday
4,33987a8ee5,i like it
5,726e501993,thats great
6,261932614e,hates
7,afa11da83f,blocked
8,e64208b4ef,and within a short time of the last clue all of them
9,37bcad24ca,what did you get  my day is alright havent done anything yet leaving soon to my stepsister though
10,24c92644a4,bummer
11,43b390b336,i checked  we didnt win
12,69d6b5d93e,and youre on twitter did the tavern bore you that much
13,5c1e0b61a1,sad
14,504e45d9d9,loose
15,ae93ad52a0,so hot
16,9fce30159a,miss you
17,00d5195223,cramps
18,33f19050cf,you guys didnt say hi or answer my questions yesterday  but nice songs
19,f7718b3c23,im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that
20,9ef44428d0,stupid
21,be634ebeb0,dead
22,3dcf4f7e13,bad
23,f0ef04109b,about to go to sleep
24,8be365118e,lame
25,c50bdd4567,thats so cool
26,334954f215,hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime
27,b783916431,huh another scarepoint coding sunday
28,1fa8e6ad66,look who i found just for you
29,be38b29042,no ac the fan doesnt swing our way  we are sweating it out on a hot humid day
30,95701e8ed9,guess that depends on if you want to be on the jury
31,4dd58ecd2c,resorted to eating mickey ds alone
32,cf553cccd5,there is a faux gothy chick looking at me sorry i am not going to camden and i like poppunk and jimmy eat world
33,55c69c2d52,did he ask for your twitter id your sun sign
34,9b1a52cc02,whered you go
35,cce5c4744a,watching body of liesgood film
36,c7f9d559e2,happy
37,3d2478db59,so i really need to put the laptop down  start getting ready for  shindigbut ive missed my twitterloves all day
38,6d846d7d50,im sorry  at least its friday
39,599f51af6b,feels sorry every time
40,87daa62920,beat
41,6506dc55ff,i always forget something when i travel i am at newark airport
42,746d87f93e,should have left car and walked home i might need someone to rescue me with petrol light flashing
43,ef7ef8e474,im only updating this so that bretts phone beeps  but really looking at wedding stuff againfor the next five months
44,d3d7b13278,agree
45,ddc07db84e,hope ur havin fun
46,67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday
47,17d18ba9ef,wonderful
48,ab57d75f20,im really sorry i know wallah how u feel this life is shittttttttt
49,f0acd25d8e,not happy
50,cf3b068b03,is watching acoustic performances  in the mood for a good friends episode i miss that show
51,d6c34fa875,ill oscillate from one to the other
52,614aed9113,insomnia
53,dfa577d3c1,thanks ennio
54,10dcbe4dfb,you should totally come get me and bring me to kelslaws house with you
55,a0bfb12773,nice
